Tier 1 Contextual Category;Tier 2 Contextual Category; Cost (EUR) ;Impressions;Clicks;CTR (%); eCPM (EUR) ; eCPC (EUR) ;Leads (All); eCPL (All) (EUR) ;COV (%)
Sports;Skiing; 161,92 ;222432;270;0,12%; 0,73 ; 0,60 ;5; 32,38 ;1,85%
Sports;Snowboarding; 152,64 ;221680;270;0,12%; 0,69 ; 0,57 ;5; 30,53 ;1,85%
Sports;Surfing/Bodyboarding; 63,28 ;213756;267;0,12%; 0,30 ; 0,24 ;5; 12,66 ;1,87%
Sports;Swimming; 58,08 ;213260;267;0,13%; 0,27 ; 0,22 ;5; 11,62 ;1,87%
Sports;Table Tennis/Ping-Pong; 85,28 ;218255;268;0,12%; 0,39 ; 0,32 ;5; 17,06 ;1,87%
Sports;Tennis; 208,40 ;227889;272;0,12%; 0,91 ; 0,77 ;5; 41,68 ;1,84%
Sports;Volleyball; 30,40 ;211801;266;0,13%; 0,14 ; 0,11 ;5; 6,08 ;1,88%
Sports;Walking; 71,36 ;214592;269;0,13%; 0,33 ; 0,27 ;5; 14,27 ;1,86%
Sports;Waterski/Wakeboard; 29,76 ;211668;266;0,13%; 0,14 ; 0,11 ;5; 5,95 ;1,88%
Sports;World Soccer; 11 004,88 ;1195093;859;0,07%; 9,21 ; 12,81 ;7; 1 572,13 ;0,81%
Style & Fashion;Accessories; 4 330,72 ;401746;355;0,09%; 10,78 ; 12,20 ;5; 866,14 ;1,41%
Style & Fashion;Beauty; 1 088,56 ;288693;308;0,11%; 3,77 ; 3,53 ;5; 217,71 ;1,62%
Style & Fashion;Body Art; 96,48 ;218244;266;0,12%; 0,44 ; 0,36 ;5; 19,30 ;1,88%
Style & Fashion;Clothing; 3 105,36 ;376563;335;0,09%; 8,25 ; 9,27 ;5; 621,07 ;1,49%
Style & Fashion;Fashion; 5 465,68 ;535053;390;0,07%; 10,22 ; 14,01 ;5; 1 093,14 ;1,28%
Style & Fashion;Jewelry; 703,84 ;304898;287;0,09%; 2,31 ; 2,45 ;5; 140,77 ;1,74%
Style & Fashion;n/a; 3 016,32 ;405701;325;0,08%; 7,43 ; 9,28 ;5; 603,26 ;1,54%
Technology & Computing;3-D Graphics; 20,24 ;210805;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Technology & Computing;Animation; 141,84 ;220875;268;0,12%; 0,64 ; 0,53 ;5; 28,37 ;1,87%
Technology & Computing;Antivirus Software; 1 157,04 ;336273;326;0,10%; 3,44 ; 3,55 ;5; 231,41 ;1,53%
Technology & Computing;C/C++; 75,12 ;216198;269;0,12%; 0,35 ; 0,28 ;5; 15,02 ;1,86%
Technology & Computing;Cameras & Camcorders; 3 027,04 ;358212;329;0,09%; 8,45 ; 9,20 ;5; 605,41 ;1,52%
Technology & Computing;Cell Phones; 5 108,80 ;539795;442;0,08%; 9,46 ; 11,56 ;5; 1 021,76 ;1,13%
Technology & Computing;Computer Certification; 38,56 ;212072;266;0,13%; 0,18 ; 0,14 ;5; 7,71 ;1,88%
Technology & Computing;Computer Networking; 204,08 ;223291;275;0,12%; 0,91 ; 0,74 ;5; 40,82 ;1,82%
Technology & Computing;Computer Peripherals; 2 575,60 ;299832;329;0,11%; 8,59 ; 7,83 ;5; 515,12 ;1,52%
Technology & Computing;Computer Reviews; 23,28 ;211087;266;0,13%; 0,11 ; 0,09 ;5; 4,66 ;1,88%
Technology & Computing;Data Centers; 20,24 ;210805;266;0,13%; 0,10 ; 0,08 ;5; 4,05 ;1,88%
Technology & Computing;Databases; 33,20 ;211602;266;0,13%; 0,16 ; 0,12 ;5; 6,64 ;1,88%
